PK;MAH;NÜFUS;X;Y
34660;ACIBADEM;24507;41.006159;29.049121
34672;AHMEDIYE;9349;41.018553;29.016546
34662;ALTUNIZADE;13715;41.020725;29.045745
34672;AZIZ MAHMUT HÜDAYI;8755;41.022845;29.011077
34688;BAHÇELIEVLER;21719;41.052993;29.076566
34662;BARBAROS;17799;41.013094;29.032115
34676;BEYLERBEYI;5502;41.042332;29.046226
34696;BULGURLU;31194;41.018670;29.078851
34676;BURHANIYE;16762;41.029142;29.052640
34697;CUMHURIYET;37216;41.011267;29.081408
34680;ÇENGELKÖY;14146;41.051816;29.059435
34692;FERAH;20647;41.033477;29.073285
34680;GÜZELTEPE;13330;41.050130;29.071191
34674;ICADIYE;16923;41.028857;29.034503
34684;KANDILLI;1722;41.069532;29.061323
34692;KISIKLI;19935;41.024619;29.071746
34682;KIRAZLITEPE;11025;41.038878;29.061008
34684;KULELI;2244;41.059455;29.059126
34674;KUZGUNCUK;4336;41.033859;29.036303
34696;KÜÇÜK ÇAMLICA;10818;41.015673;29.063038
34684;KÜÇÜKSU;19394;41.065622; 29.071771
34676;KÜPLÜCE;17596;41.035775; 29.056574
34682;MEHMET AKIF ERSOY;20558;41.042058; 29.071553
34672;MIMAR SINAN;11917;41.022978; 29.019766
34664;MURATREIS;13872;41.022143; 29.030054
34668;SALACAK;9452;41.016998; 29.012171
34664;SELAMI ALI;13228;41.025795; 29.029211
34668;SELIMIYE;8837;41.006455; 29.019592
34674;SULTANTEPE;11200;41.028428; 29.022166
34700;ÜNALAN;33843;41.000925; 29.065692
34664;VALIDE-I ATIK;21336;41.018388; 29.026440
34690;YAVUZTÜRK;33871;41.041798; 29.085996
34668;ZEYNEP KAMIL;12397;41.015199; 29.020723
